Which one of these is "hello"?,multiple,img,salut,pa,multumesc,0,hello
Which one of these is "thank you"?,multiple,img,pa,salut,multumesc,2,thank you
Which one of these is "bye"?,multiple,img,salut,multumesc,pa,2,bye
How do you say "thank you"?,multiple,text,salut,multumesc,pa,1,thank you
How do you say "hello"?,multiple,text,salut,pa,multumesc,0,hello
How do you say "bye"?,multiple,text,salut,multumesc,pa,2,bye
Which one of these is "yes"?,multiple,img,multumesc,da,nu,1,yes
Which one of these is "no"?,multiple,img,nu,salut,da,0,no
How do you say "yes"?,multiple,text,salut,multumesc,da,2,yes
How do you say "no"?,multiple,text,nu,pa,multumesc,0,no
How do you say "thank you"?,input,text,,,,thank you,thank you
