
Translate this in English,Salut! Numele meu este Maria.,input,translate, , , ,Hello! My name is Maria., 
How do you say "thank you"?,,input,text,,,,multumesc, 
How do you say "goodbye"?,,input,text,,,,la revedere, 
Type what you hear,,input,translate,,,,multumesc, 
Translate this in English,Multumesc. La revedere!,input,translate, , , ,Thank you. Goodbye!, 
How do you say "goodbye"?,,multiple,text,salut,multumesc,la revedere,2, 
Which one of these is "yes"?,,multiple,img,multumesc,da,nu,1,yes
Which one of these is "no"?,,multiple,img,nu,salut,da,0,no
How do you say "yes"?,,multiple,text,salut,multumesc,da,2, 
How do you say "no"?,,multiple,text,nu,la revedere,multumesc,0, 
